pid,first_name,last_name,party,state
K000382,Ann,Kuster,Democrat,NH
K000383,Angus,King,Independent,ME
K000384,Timothy,Kaine,Democrat,VA
K000385,Robin,Kelly,Democrat,IL
K000386,John,Katko,Republican,NY
K000387,Steve,Knight,Republican,CA
K000388,Trent,Kelly,Republican,MS
L000035,Blanche,Lincoln,Democrat,AR
L000111,Tom,Latham,Republican,IA
L000123,Frank,Lautenberg,Democrat,NJ
L000174,Patrick,Leahy,Democrat,VT
L000261,Carl,Levin,Democrat,MI
L000263,Sander,Levin,Democrat,MI
L000274,Jerry,Lewis,Republican,CA
L000287,John,Lewis,Democrat,GA
L000304,Joseph,Lieberman,Democrat,CT
L000321,John,Linder,Republican,GA
L000397,Zoe,Lofgren,Democrat,CA
L000480,Nita,Lowey,Democrat,NY
L000491,Frank,Lucas,Republican,OK
L000504,Richard,Lugar,Republican,IN
L000517,Daniel,Lungren,Republican,CA
L000550,Mary,Landrieu,Democrat,LA
L000551,Barbara,Lee,Democrat,CA
L000553,Steven,LaTourette,Republican,OH
L000554,Frank,LoBiondo,Republican,NJ
L000557,John,Larson,Democrat,CT
L000559,James,Langevin,Democrat,RI
L000560,Rick,Larsen,Democrat,WA
L000562,Stephen,Lynch,Democrat,MA
L000563,Daniel,Lipinski,Democrat,IL
L000564,Doug,Lamborn,Republican,CO
L000565,David,Loebsack,Democrat,IA
L000566,Robert,Latta,Republican,OH
L000567,Leonard,Lance,Republican,NJ
L000568,Christopher,Lee,Republican,NY
L000569,Blaine,Luetkemeyer,Republican,MO
L000570,Ben,Luján,Democrat,NM
L000571,Cynthia,Lummis,Republican,WY
L000572,George,LeMieux,Republican,FL
L000573,Raúl,Labrador,Republican,ID
L000574,Jeff,Landry,Republican,LA
L000575,James,Lankford,Republican,OK
L000576,Billy,Long,Republican,MO
L000577,Mike,Lee,Republican,UT
L000578,Doug,LaMalfa,Republican,CA
L000579,Alan,Lowenthal,Democrat,CA
L000580,Michelle,Lujan Grisham,Democrat,NM
L000581,Brenda,Lawrence,Democrat,MI
L000582,Ted,Lieu,Democrat,CA
L000583,Barry,Loudermilk,Republican,GA
L000584,Mia,Love,Republican,UT
L000585,Darin,LaHood,Republican,IL
M000087,Carolyn,Maloney,Democrat,NY
M000133,Edward,Markey,Democrat,MA
M000303,John,McCain,Republican,AZ
M000309,Carolyn,McCarthy,Democrat,NY
M000312,James,McGovern,Democrat,MA
M000355,Mitch,McConnell,Republican,KY
M000404,Jim,McDermott,Democrat,WA
M000472,John,McHugh,Republican,NY
M000485,Mike,McIntyre,Democrat,NC
M000508,Howard,McKeon,Republican,CA
M000639,Robert,Menéndez,Democrat,NJ
M000689,John,Mica,Republican,FL
M000702,Barbara,Mikulski,Democrat,MD
M000725,George,Miller,Democrat,CA
M000844,Alan,Mollohan,Democrat,WV
M000933,James,Moran,Democrat,VA
M000934,Jerry,Moran,Republican,KS
M001111,Patty,Murray,Democrat,WA
M001120,John,Murtha,Democrat,PA
M001134,Sue,Myrick,Republican,NC
M001137,Gregory,Meeks,Democrat,NY
M001138,Donald,Manzullo,Republican,IL
M001139,Gary,Miller,Republican,CA
M001140,Dennis,Moore,Democrat,KS
M001142,Jim,Matheson,Democrat,UT
M001143,Betty,McCollum,Democrat,MN
M001144,Jeff,Miller,Republican,FL
M001146,James,Marshall,Democrat,GA
M001147,Thaddeus,McCotter,Republican,MI
M001148,Kendrick,Meek,Democrat,FL
M001149,Michael,Michaud,Democrat,ME
M001150,Candice,Miller,Republican,MI
M001151,Tim,Murphy,Republican,PA
M001153,Lisa,Murkowski,Republican,AK
M001154,R.,Miller,Democrat,NC
M001155,Connie,Mack,Republican,FL
M001156,Patrick,McHenry,Republican,NC
M001157,Michael,McCaul,Republican,TX
M001158,Kenny,Marchant,Republican,TX
M001159,Cathy,McMorris Rodgers,Republican,WA
M001160,Gwen,Moore,Democrat,WI
M001161,Charles,Melancon,Democrat,LA
M001162,Mel,Martinez,Republican,FL
M001163,Doris,Matsui,Democrat,CA
M001165,Kevin,McCarthy,Republican,CA
M001166,Jerry,McNerney,Democrat,CA
M001167,Harry,Mitchell,Democrat,AZ
M001168,Patrick,Murphy,Democrat,PA
M001169,Christopher,Murphy,Democrat,CT
M001170,Claire,McCaskill,Democrat,MO
M001171,Daniel,Maffei,Democrat,NY
M001172,Betsy,Markey,Democrat,CO
M001173,Eric,Massa,Democrat,NY
M001174,Michael,McMahon,Democrat,NY
M001175,Walter,Minnick,Democrat,ID
M001176,Jeff,Merkley,Democrat,OR
M001177,Tom,McClintock,Republican,CA
M001178,Scott,Murphy,Democrat,NY
M001179,Tom,Marino,Republican,PA
M001180,David,McKinley,Republican,WV
M001181,Patrick,Meehan,Republican,PA
M001182,Mick,Mulvaney,Republican,SC
M001183,Joe,Manchin,Democrat,WV
M001184,Thomas,Massie,Republican,KY
M001185,Sean,Maloney,Democrat,NY
M001187,Mark,Meadows,Republican,NC
M001188,Grace,Meng,Democrat,NY
M001189,Luke,Messer,Republican,IN
M001190,Markwayne,Mullin,Republican,OK
M001191,Patrick,Murphy,Democrat,FL
M001192,Vance,McAllister,Republican,LA
M001193,Tom,MacArthur,Republican,NJ
M001194,John,Moolenaar,Republican,MI
M001195,Alex,Mooney,Republican,WV
M001196,Seth,Moulton,Democrat,MA
M001197,Martha,McSally,Republican,AZ
N000002,Jerrold,Nadler,Democrat,NY
N000015,Richard,Neal,Democrat,MA
N000032,Bill,Nelson,Democrat,FL
N000127,Richard,Nolan,Democrat,MN
N000147,Eleanor,Norton,Democrat,DC
N000179,Grace,Napolitano,Democrat,CA
N000180,Ben,Nelson,Democrat,NE
N000181,Devin,Nunes,Republican,CA
N000182,Randy,Neugebauer,Republican,TX
N000183,Glenn,Nye,Democrat,VA
N000184,Kristi,Noem,Republican,SD
N000185,Richard,Nugent,Republican,FL
N000186,Alan,Nunnelee,Republican,MS
N000187,Gloria,Negrete McLeod,Democrat,CA
N000188,Donald,Norcross,Democrat,NJ
N000189,Dan,Newhouse,Republican,WA
O000006,James,Oberstar,Democrat,MN
O000007,David,Obey,Democrat,WI
O000085,John,Olver,Democrat,MA
O000107,Solomon,Ortiz,Democrat,TX
O000168,Pete,Olson,Republican,TX
O000169,William,Owens,Democrat,NY
O000170,Beto,"O'Rourke",Democrat,TX
P000034,Frank,Pallone,Democrat,NJ
P000096,Bill,Pascrell,Democrat,NJ
P000099,Ed,Pastor,Democrat,AZ
P000149,Donald,Payne,Democrat,NJ
P000197,Nancy,Pelosi,Democrat,CA
P000258,Collin,Peterson,Democrat,MN
P000265,Thomas,Petri,Republican,WI
P000373,Joseph,Pitts,Republican,PA
P000422,Earl,Pomeroy,Democrat,ND
P000449,Robert,Portman,Republican,OH
P000523,David,Price,Democrat,NC
P000583,Ronald,Paul,Republican,TX
P000585,Todd,Platts,Republican,PA
P000586,Adam,Putnam,Republican,FL
P000587,Mike,Pence,Republican,IN
P000588,Stevan,Pearce,Republican,NM
P000590,Mark,Pryor,Democrat,AR
P000591,Tom,Price,Republican,GA
P000592,Ted,Poe,Republican,TX
P000593,Ed,Perlmutter,Democrat,CO
P000594,Erik,Paulsen,Republican,MN
P000595,Gary,Peters,Democrat,MI
P000596,Pedro,Pierluisi,Democrat,PR
P000597,Chellie,Pingree,Democrat,ME
P000598,Jared,Polis,Democrat,CO
P000599,Bill,Posey,Republican,FL
P000600,Thomas,Perriello,Democrat,VA
P000601,Steven,Palazzo,Republican,MS
P000602,Mike,Pompeo,Republican,KS
P000603,Rand,Paul,Republican,KY
P000604,Donald,Payne,Democrat,NJ
P000605,Scott,Perry,Republican,PA
P000606,Robert,Pittenger,Republican,NC
P000607,Mark,Pocan,Democrat,WI
P000608,Scott,Peters,Democrat,CA
P000609,Gary,Palmer,Republican,AL
P000611,Bruce,Poliquin,Republican,ME
P000612,David,Perdue,Republican,GA
Q000023,Mike,Quigley,Democrat,IL
Q000024,Ben,Quayle,Republican,AZ
R000004,George,Radanovich,Republican,CA
R000011,Nick,Rahall,Democrat,WV
R000053,Charles,Rangel,Democrat,NY
R000122,John,Reed,Democrat,RI
R000146,Harry,Reid,Democrat,NV
R000170,Silvestre,Reyes,Democrat,TX
R000307,Pat,Roberts,Republican,KS
R000361,John,Rockefeller,Democrat,WV
R000395,Harold,Rogers,Republican,KY
R000409,Dana,Rohrabacher,Republican,CA
R000435,Ileana,Ros-Lehtinen,Republican,FL
R000462,Steven,Rothman,Democrat,NJ
R000486,Lucille,Roybal-Allard,Democrat,CA
R000487,Edward,Royce,Republican,CA
R000515,Bobby,Rush,Democrat,IL
R000568,Ciro,Rodriguez,Democrat,TX
R000570,Paul,Ryan,Republican,WI
R000571,Dennis,Rehberg,Republican,MT
R000572,Mike,Rogers,Republican,MI
R000573,Mike,Ross,Democrat,AR
R000575,Mike,Rogers,Republican,AL
R000576,C.,Ruppersberger,Democrat,MD
R000577,Tim,Ryan,Democrat,OH
